,panel_name,image_name,lebel,time,LUX,TEMP (Celcius),power
0,d-1-3-1,d-1-3-1.jpg,d,1,1350,27,23.4639
1,d-1-3-2,d-1-3-2.jpg,d,1,1350,27,23.4639
2,d-1-3-3,d-1-3-3.jpg,d,1,1350,27,23.4639
3,d-1-3-4,d-1-3-4.jpg,d,1,1350,27,23.4639
4,d-1-4-1,d-1-4-1.jpg,d,1,1380,27.1,22.2275
5,d-1-4-2,d-1-4-2.jpg,d,1,1380,27.1,22.2275
6,d-1-4-3,d-1-4-3.jpg,d,1,1380,27.1,22.2275
7,d-1-4-4,d-1-4-4.jpg,d,1,1380,27.1,22.2275
8,d-1-5-1,d-1-5-1.jpg,d,1,1460,27.3,26.9468
9,d-1-5-2,d-1-5-2.jpg,d,1,1460,27.3,26.9468
10,d-1-5-3,d-1-5-3.jpg,d,1,1460,27.3,26.9468
11,d-1-5-4,d-1-5-4.jpg,d,1,1460,27.3,26.9468
12,d-1-6-1,d-1-6-1.jpg,d,1,1430,27.5,26.77
13,d-1-6-2,d-1-6-2.jpg,d,1,1430,27.5,26.77
14,d-1-6-3,d-1-6-3.jpg,d,1,1430,27.5,26.77
15,d-1-6-4,d-1-6-4.jpg,d,1,1430,27.5,26.77
16,d-1-7-1,d-1-7-1.jpg,d,1,1433,27.7,28.1736
17,d-1-7-2,d-1-7-2.jpg,d,1,1433,27.7,28.1736
18,d-1-7-3,d-1-7-3.jpg,d,1,1433,27.7,28.1736
19,d-1-7-4,d-1-7-4.jpg,d,1,1433,27.7,28.1736
20,d-1-9-1,d-1-9-1.jpg,d,1,1495,27.4,30.0921
21,d-1-9-2,d-1-9-2.jpg,d,1,1495,27.4,30.0921
22,d-1-9-3,d-1-9-3.jpg,d,1,1495,27.4,30.0921
23,d-1-9-4,d-1-9-4.jpg,d,1,1495,27.4,30.0921
24,d-1-11-1,d-1-11-1.jpg,d,1,1670,27.3,30.3856
25,d-1-11-2,d-1-11-2.jpg,d,1,1670,27.3,30.3856
26,d-1-11-3,d-1-11-3.jpg,d,1,1670,27.3,30.3856
27,d-1-11-4,d-1-11-4.jpg,d,1,1670,27.3,30.3856
28,d-1-12-1,d-1-12-1.jpg,d,1,1630,26.9,27.5298
29,d-1-12-2,d-1-12-2.jpg,d,1,1630,26.9,27.5298
30,d-1-12-3,d-1-12-3.jpg,d,1,1630,26.9,27.5298
31,d-1-12-4,d-1-12-4.jpg,d,1,1630,26.9,27.5298
32,d-1-16-1,d-1-16-1.jpg,d,1,2200,26.6,34.974
33,d-1-16-2,d-1-16-2.jpg,d,1,2200,26.6,34.974
34,d-1-16-3,d-1-16-3.jpg,d,1,2200,26.6,34.974
35,d-1-16-4,d-1-16-4.jpg,d,1,2200,26.6,34.974
36,d-1-20-1,d-1-20-1.jpg,d,1,2380,26.2,28.336
37,d-1-20-2,d-1-20-2.jpg,d,1,2380,26.2,28.336
38,d-1-20-3,d-1-20-3.jpg,d,1,2380,26.2,28.336
39,d-1-20-4,d-1-20-4.jpg,d,1,2380,26.2,28.336
40,d-1-21-1,d-1-21-1.jpg,d,1,2250,27.3,34.8864
41,d-1-21-2,d-1-21-2.jpg,d,1,2250,27.3,34.8864
42,d-1-21-3,d-1-21-3.jpg,d,1,2250,27.3,34.8864
43,d-1-21-4,d-1-21-4.jpg,d,1,2250,27.3,34.8864
44,d-1-26-1,d-1-26-1.jpg,d,1,2250,27.2,32.4864
45,d-1-26-2,d-1-26-2.jpg,d,1,2250,27.2,32.4864
46,d-1-26-3,d-1-26-3.jpg,d,1,2250,27.2,32.4864
47,d-1-26-4,d-1-26-4.jpg,d,1,2250,27.2,32.4864
48,d-1-27-1,d-1-27-1.jpg,d,1,2878,27.2,29.7999
49,d-1-27-2,d-1-27-2.jpg,d,1,2878,27.2,29.7999
50,d-1-27-3,d-1-27-3.jpg,d,1,2878,27.2,29.7999
51,d-1-27-4,d-1-27-4.jpg,d,1,2878,27.2,29.7999
52,d-1-28-1,d-1-28-1.jpg,d,1,2767,27,34.5168
53,d-1-28-2,d-1-28-2.jpg,d,1,2767,27,34.5168
54,d-1-28-3,d-1-28-3.jpg,d,1,2767,27,34.5168
55,d-1-28-4,d-1-28-4.jpg,d,1,2767,27,34.5168
56,d-1-29-1,d-1-29-1.jpg,d,1,2942,26,34.476
57,d-1-29-2,d-1-29-2.jpg,d,1,2942,26,34.476
58,d-1-29-3,d-1-29-3.jpg,d,1,2942,26,34.476
59,d-1-29-4,d-1-29-4.jpg,d,1,2942,26,34.476
60,d-1-30-1,d-1-30-1.jpg,d,1,3158,25.5,43.86
61,d-1-30-2,d-1-30-2.jpg,d,1,3158,25.5,43.86
62,d-1-30-3,d-1-30-3.jpg,d,1,3158,25.5,43.86
63,d-1-30-4,d-1-30-4.jpg,d,1,3158,25.5,43.86
64,d-1-31-1,d-1-31-1.jpg,d,1,3155,25.2,40.6245
65,d-1-31-2,d-1-31-2.jpg,d,1,3155,25.2,40.6245
